General
# of roots =             2
execution time =     10.962950
  root            1
    Xr             Xl                     Xu                           es
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
-1.742959     -1.742967             -1.742952                      0.000008
  root            2
    Xr             Xl                     Xu                           es
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
0.999992      0.999985              1.000000                      0.000008
